image_path,filename,category,crop,disease,treatment,is_healthy
kaggle_images/Pepper__bell___Bacterial_spot_080b107a-192f-40ce-8942-d8ccca8dfc52___NREC_B.Spot 1872.JPG,Pepper__bell___Bacterial_spot_080b107a-192f-40ce-8942-d8ccca8dfc52___NREC_B.Spot 1872.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_08485974-1e38-4e34-b296-fadd9cc26942___NREC_B.Spot 9193.JPG,Pepper__bell___Bacterial_spot_08485974-1e38-4e34-b296-fadd9cc26942___NREC_B.Spot 9193.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_09035eae-2a1c-4718-8877-5270a1fe8462___JR_B.Spot 3280.JPG,Pepper__bell___Bacterial_spot_09035eae-2a1c-4718-8877-5270a1fe8462___JR_B.Spot 3280.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0915c9a9-25b0-4728-be01-86e5cecb57df___NREC_B.Spot 1816.JPG,Pepper__bell___Bacterial_spot_0915c9a9-25b0-4728-be01-86e5cecb57df___NREC_B.Spot 1816.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_092b3e29-d29a-482f-9207-3cd5fbed6710___JR_B.Spot 3238.JPG,Pepper__bell___Bacterial_spot_092b3e29-d29a-482f-9207-3cd5fbed6710___JR_B.Spot 3238.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_09ae534a-e931-4f83-8545-cf330dfebae9___NREC_B.Spot 9210.JPG,Pepper__bell___Bacterial_spot_09ae534a-e931-4f83-8545-cf330dfebae9___NREC_B.Spot 9210.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0a0dbf1f-1131-496f-b337-169ec6693e6f___NREC_B.Spot 9241.JPG,Pepper__bell___Bacterial_spot_0a0dbf1f-1131-496f-b337-169ec6693e6f___NREC_B.Spot 9241.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0a4c007d-41ab-4659-99cb-8a4ae4d07a55___NREC_B.Spot 1954.JPG,Pepper__bell___Bacterial_spot_0a4c007d-41ab-4659-99cb-8a4ae4d07a55___NREC_B.Spot 1954.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0a9cfb27-280e-475a-bbb4-8eeaeff38b8c___NREC_B.Spot 9177.JPG,Pepper__bell___Bacterial_spot_0a9cfb27-280e-475a-bbb4-8eeaeff38b8c___NREC_B.Spot 9177.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0abffc81-6be8-4b17-a83c-4d2830e30382___JR_B.Spot 9076.JPG,Pepper__bell___Bacterial_spot_0abffc81-6be8-4b17-a83c-4d2830e30382___JR_B.Spot 9076.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0b27c03f-b3bc-4d96-9b76-6fbd779404b9___NREC_B.Spot 1799.JPG,Pepper__bell___Bacterial_spot_0b27c03f-b3bc-4d96-9b76-6fbd779404b9___NREC_B.Spot 1799.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0b47ce18-7cfe-45e8-b21e-b83cb6282455___JR_B.Spot 3162.JPG,Pepper__bell___Bacterial_spot_0b47ce18-7cfe-45e8-b21e-b83cb6282455___JR_B.Spot 3162.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0bd0f439-013b-40ed-a6d1-4e67e971d437___JR_B.Spot 3272.JPG,Pepper__bell___Bacterial_spot_0bd0f439-013b-40ed-a6d1-4e67e971d437___JR_B.Spot 3272.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0c1eb1fd-9e3a-4396-81bc-7d1d3eccc5ed___JR_B.Spot 3369.JPG,Pepper__bell___Bacterial_spot_0c1eb1fd-9e3a-4396-81bc-7d1d3eccc5ed___JR_B.Spot 3369.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0c2392f6-3e69-4baf-b9f3-197623f6631a___JR_B.Spot 3176.JPG,Pepper__bell___Bacterial_spot_0c2392f6-3e69-4baf-b9f3-197623f6631a___JR_B.Spot 3176.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0c4e75b2-e4aa-437e-815c-636271d66bec___JR_B.Spot 3244.JPG,Pepper__bell___Bacterial_spot_0c4e75b2-e4aa-437e-815c-636271d66bec___JR_B.Spot 3244.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0c6f6805-490e-438c-b9cd-3fd7ee29f31b___NREC_B.Spot 9123.JPG,Pepper__bell___Bacterial_spot_0c6f6805-490e-438c-b9cd-3fd7ee29f31b___NREC_B.Spot 9123.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0c99cb45-b4e0-4ade-bba5-fab3b678f0bb___JR_B.Spot 8912.JPG,Pepper__bell___Bacterial_spot_0c99cb45-b4e0-4ade-bba5-fab3b678f0bb___JR_B.Spot 8912.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0ce74db6-be9b-4c43-a104-6a3f9bcd2de2___NREC_B.Spot 1827.JPG,Pepper__bell___Bacterial_spot_0ce74db6-be9b-4c43-a104-6a3f9bcd2de2___NREC_B.Spot 1827.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0d2635e7-df23-4ceb-b3ba-3af50bb58357___NREC_B.Spot 1874.JPG,Pepper__bell___Bacterial_spot_0d2635e7-df23-4ceb-b3ba-3af50bb58357___NREC_B.Spot 1874.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0d524d59-fb02-481b-9034-64f1de0da914___NREC_B.Spot 9060.JPG,Pepper__bell___Bacterial_spot_0d524d59-fb02-481b-9034-64f1de0da914___NREC_B.Spot 9060.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0d8421cd-eebc-4018-b591-12352dd970a7___JR_B.Spot 3234.JPG,Pepper__bell___Bacterial_spot_0d8421cd-eebc-4018-b591-12352dd970a7___JR_B.Spot 3234.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0d8445ac-6333-42b0-bf32-950a2dd83908___NREC_B.Spot 1862.JPG,Pepper__bell___Bacterial_spot_0d8445ac-6333-42b0-bf32-950a2dd83908___NREC_B.Spot 1862.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0d9b55df-a8c0-4784-b1e4-957c8d679513___NREC_B.Spot 1825.JPG,Pepper__bell___Bacterial_spot_0d9b55df-a8c0-4784-b1e4-957c8d679513___NREC_B.Spot 1825.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0e57b44f-bb06-43ec-8688-5a7985b461e7___JR_B.Spot 8970.JPG,Pepper__bell___Bacterial_spot_0e57b44f-bb06-43ec-8688-5a7985b461e7___JR_B.Spot 8970.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0efa6329-22f4-4bf0-a67a-17b0d5e4d2f2___NREC_B.Spot 9145.JPG,Pepper__bell___Bacterial_spot_0efa6329-22f4-4bf0-a67a-17b0d5e4d2f2___NREC_B.Spot 9145.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0f2b941b-cce2-46e1-a6e3-6924604e9926___NREC_B.Spot 9073.JPG,Pepper__bell___Bacterial_spot_0f2b941b-cce2-46e1-a6e3-6924604e9926___NREC_B.Spot 9073.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0f72db9c-d635-4415-9781-68937328aed2___NREC_B.Spot 9188.JPG,Pepper__bell___Bacterial_spot_0f72db9c-d635-4415-9781-68937328aed2___NREC_B.Spot 9188.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0fcbdf76-fcc4-4271-986a-9466a784d404___JR_B.Spot 3374.JPG,Pepper__bell___Bacterial_spot_0fcbdf76-fcc4-4271-986a-9466a784d404___JR_B.Spot 3374.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0fdb66e8-b17d-42c2-bc6d-30dcfab8fcae___JR_B.Spot 9058.JPG,Pepper__bell___Bacterial_spot_0fdb66e8-b17d-42c2-bc6d-30dcfab8fcae___JR_B.Spot 9058.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_0fe8a42b-b943-43d6-88c4-78abdcbfe02d___NREC_B.Spot 9236.JPG,Pepper__bell___Bacterial_spot_0fe8a42b-b943-43d6-88c4-78abdcbfe02d___NREC_B.Spot 9236.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_1024fbd6-ded7-4532-becb-aeb624ea832b___JR_B.Spot 8884.JPG,Pepper__bell___Bacterial_spot_1024fbd6-ded7-4532-becb-aeb624ea832b___JR_B.Spot 8884.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_1044c742-39a0-4b1a-984f-3cb2bdeda94b___NREC_B.Spot 9219.JPG,Pepper__bell___Bacterial_spot_1044c742-39a0-4b1a-984f-3cb2bdeda94b___NREC_B.Spot 9219.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_1092e87d-5d66-43cd-8344-43b393d86065___NREC_B.Spot 9244.JPG,Pepper__bell___Bacterial_spot_1092e87d-5d66-43cd-8344-43b393d86065___NREC_B.Spot 9244.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_10af9ff3-16c3-4cb0-8af0-71d3b8442206___NREC_B.Spot 9090.JPG,Pepper__bell___Bacterial_spot_10af9ff3-16c3-4cb0-8af0-71d3b8442206___NREC_B.Spot 9090.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_11092e1c-9fdc-4405-85b9-a8d7548f12bb___JR_B.Spot 9051.JPG,Pepper__bell___Bacterial_spot_11092e1c-9fdc-4405-85b9-a8d7548f12bb___JR_B.Spot 9051.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_113d374f-8b12-454c-84cc-ee91043bc988___NREC_B.Spot 9146.JPG,Pepper__bell___Bacterial_spot_113d374f-8b12-454c-84cc-ee91043bc988___NREC_B.Spot 9146.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_1181b18f-8d1d-4ba1-9fba-dfe397c585ac___NREC_B.Spot 1846.JPG,Pepper__bell___Bacterial_spot_1181b18f-8d1d-4ba1-9fba-dfe397c585ac___NREC_B.Spot 1846.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_11a23270-53e7-41b6-8c79-91caeaf9cfa6___JR_B.Spot 9050.JPG,Pepper__bell___Bacterial_spot_11a23270-53e7-41b6-8c79-91caeaf9cfa6___JR_B.Spot 9050.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_11b85334-0029-430e-873d-9402bd9e5e9f___JR_B.Spot 9031.JPG,Pepper__bell___Bacterial_spot_11b85334-0029-430e-873d-9402bd9e5e9f___JR_B.Spot 9031.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_11e6ce0a-8511-485a-b22c-21b978d28e5e___JR_B.Spot 3383.JPG,Pepper__bell___Bacterial_spot_11e6ce0a-8511-485a-b22c-21b978d28e5e___JR_B.Spot 3383.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_121268d0-b5e9-452b-aa45-df90ddcc5ee5___JR_B.Spot 8876.JPG,Pepper__bell___Bacterial_spot_121268d0-b5e9-452b-aa45-df90ddcc5ee5___JR_B.Spot 8876.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_1219f26f-a23a-4c2a-99f0-407fc785c74a___JR_B.Spot 3332.JPG,Pepper__bell___Bacterial_spot_1219f26f-a23a-4c2a-99f0-407fc785c74a___JR_B.Spot 3332.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_12342367-f62b-40d0-897b-77bd1edbd3d1___JR_B.Spot 3199.JPG,Pepper__bell___Bacterial_spot_12342367-f62b-40d0-897b-77bd1edbd3d1___JR_B.Spot 3199.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_12c953a0-bd3e-45d0-aaea-5139f5d63e01___JR_B.Spot 8863.JPG,Pepper__bell___Bacterial_spot_12c953a0-bd3e-45d0-aaea-5139f5d63e01___JR_B.Spot 8863.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_12c9c98f-afc9-4c12-8a97-007e5a40712a___NREC_B.Spot 9053.JPG,Pepper__bell___Bacterial_spot_12c9c98f-afc9-4c12-8a97-007e5a40712a___NREC_B.Spot 9053.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_12f47cff-1a75-47ec-99d2-01720786e478___NREC_B.Spot 1859.JPG,Pepper__bell___Bacterial_spot_12f47cff-1a75-47ec-99d2-01720786e478___NREC_B.Spot 1859.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_131dd897-98e3-45f0-9b4a-48471c4cbf4c___JR_B.Spot 8845.JPG,Pepper__bell___Bacterial_spot_131dd897-98e3-45f0-9b4a-48471c4cbf4c___JR_B.Spot 8845.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_1360c0b1-4eb4-491b-8544-738d3c420828___NREC_B.Spot 1977.JPG,Pepper__bell___Bacterial_spot_1360c0b1-4eb4-491b-8544-738d3c420828___NREC_B.Spot 1977.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_1385e1e7-c7a5-4edb-8273-2f6a54c583fa___NREC_B.Spot 9128.JPG,Pepper__bell___Bacterial_spot_1385e1e7-c7a5-4edb-8273-2f6a54c583fa___NREC_B.Spot 9128.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_13955856-c347-4039-ba30-09ea39d66534___NREC_B.Spot 9114.JPG,Pepper__bell___Bacterial_spot_13955856-c347-4039-ba30-09ea39d66534___NREC_B.Spot 9114.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_139a5c07-332c-4a2d-8bf2-bf33ce9184c6___NREC_B.Spot 1892.JPG,Pepper__bell___Bacterial_spot_139a5c07-332c-4a2d-8bf2-bf33ce9184c6___NREC_B.Spot 1892.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
kaggle_images/Pepper__bell___Bacterial_spot_141a46fa-9293-4810-9cf6-b329346f8fb2___JR_B.Spot 8995.JPG,Pepper__bell___Bacterial_spot_141a46fa-9293-4810-9cf6-b329346f8fb2___JR_B.Spot 8995.JPG,Pepper__bell___Bacterial_spot,Pepper__bell,Bacterial_spot,Consult agricultural expert,False
